Name,Designation,Department,Email,Profile_URL
Dr. Sudha D,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-sudha-d/
Dr. Suganiya M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-m-suganiya/
Dr. Suganya A,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-suganya-a/
Dr. Sujithra J,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-sujithra-j/
Dr. Sundari K,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-sundari-k/
Dr. Supraja G,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-supraja-g/
Dr. Suresh Anand M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-m-suresh-anand/
Dr. Suresh M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-m-sures/
Dr. Swathi Mirthika G L,Assistant Professor,,,https://www.srmist.edu.in/faculty/swathi-mirthika-g-l/
Dr. Sworna Kokila M. L,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-m-l-sworna-kokila/
Dr. Syed Anwar Hussainy F,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-syed-anwar-hussainy-f/
Dr. Thamizhamuthu R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-r-thamizhamuthu/
Dr. Thanigaivelu P S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-thanigaivelu-p-s/
Dr. Umamageswari B,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-umamageswari-b/
Dr. Vaidhehi M,Assistant Professor,,,https://www.srmist.edu.in/faculty/m-vaidhehi/
Dr. Vaishnavi J,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vaishnavi-j/
Dr. Vanusha D,Assistant Professor,,,https://www.srmist.edu.in/faculty/d-vanusha/
Dr. Vetriselvi D,Assistant Professor,,,https://www.srmist.edu.in/faculty/vetriselvi-d/
Dr. Vidhya S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-s-vidhya/
Dr. Vidhyalakshmi M K,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vidhyalakshmi-m-k/
Dr. Vijayakumar M,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-vijayakumar-m/
Dr. Vijayalakshmi M,Assistant Professor,,,https://www.srmist.edu.in/faculty/vijayalakshmi-m/
Dr. Viji D,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-d-viji/
Dr. Vijiyakumar K,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vijiyakumar-k/
Dr. Vinay Kishnani,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vinay-kishnani/
Dr. Vinoth N A S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-vinoth-n-a-s-2/
Dr. Vinu S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vinu-s/
Dr. Vivek Justus,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-vivek-justus/
Dr. Viveka S,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-viveka-s/
Dr. Yamini R,Assistant Professor,,,https://www.srmist.edu.in/faculty/r-yamini/
Dr. Yazhinian S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-yazhinian-s/
Mr. Anand M,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-anand-m/
Mr. Chandra Sekaran D S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-chandra-sekaran-d-s/
Mr. Ganesh Shanker S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-ganesh-shanker-s/
Mr. Giridharan N,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-giridharan-n/
Mr. Gowtham R,Assistant Professor,,,https://www.srmist.edu.in/faculty/gowtham-r/
Mr. Himadri Nirjhar Mandal,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-himadri-nirjhar-mandal/
Mr. Nandhakumar Vijayan,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-nandhakumar-v/
Mr. Rohit Ravi,Assistant Professor,,,https://www.srmist.edu.in/faculty/rohit-ravi/
Mr. Saravana Kumar N,Assistant Professor Jr G,,,https://www.srmist.edu.in/faculty/mr-saravana-kumar-n/
Mr. Venkatesh C,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-venkatesh-c/
Mrs. Agalya A,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-agalya-a/
Mrs. Archana R,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-archana-r/
Mrs. Babeetha S,Assistant Professor,,,https://www.srmist.edu.in/faculty/babeetha-s/
Mrs. Bagiyalakshmi N,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-bagiyalakshmi-n/
Mrs. Bharani H,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-bharani-h/
Mrs. Brindha R,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-r-brindha/
Mrs. Christina Sweetline B,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-christina-b/
